Is_duplicated,key,Origin,English (en),Font,Vietnamese (vi),Font,RichText
FALSE,object_name_3000,PANDORA BOX,PANDORA BOX,RobotoSemi-Bold SDF,HỘP PANDORA,RobotoSemi-Bold SDF,
FALSE,object_name_2001,MONSTERA,MONSTERA,RobotoSemi-Bold SDF,MONSTERA,RobotoSemi-Bold SDF,
FALSE,object_name_2002,BOMBOZ,BOMBOZ,RobotoSemi-Bold SDF,BOMBOZ,RobotoSemi-Bold SDF,
FALSE,object_name_2003,SPIKE,SPIKE,RobotoSemi-Bold SDF,SPIKE,RobotoSemi-Bold SDF,
FALSE,object_name_2004,DONUT,DONUT,RobotoSemi-Bold SDF,BÁNH DONUT,RobotoSemi-Bold SDF,
FALSE,object_name_2005,BOOST MAGNUM,BOOST MAGNUM,RobotoSemi-Bold SDF,SÚNG TĂNG LỰC,RobotoSemi-Bold SDF,
FALSE,object_name_2006,TELEPORT,TELEPORT,RobotoSemi-Bold SDF,CỔNG DỊCH CHUYỂN,RobotoSemi-Bold SDF,
FALSE,object_name_2007,WALLNUT,WALLNUT,RobotoSemi-Bold SDF,TƯỜNG ĐẤT,RobotoSemi-Bold SDF,
FALSE,object_name_2008,GATE KEY,GATE KEY,RobotoSemi-Bold SDF,CHÌA KHÓA CỔNG,RobotoSemi-Bold SDF,
FALSE,object_name_2009,LOCKED GATE,LOCKED GATE,RobotoSemi-Bold SDF,CỔNG KHÓA,RobotoSemi-Bold SDF,
FALSE,object_name_2010,FLASH,FLASH,RobotoSemi-Bold SDF,TỐC BIẾN,RobotoSemi-Bold SDF,
FALSE,object_name_2011,LAST STAND,LAST STAND,RobotoSemi-Bold SDF,THẬP TỬ NHẤT SINH,RobotoSemi-Bold SDF,
FALSE,object_name_2012,CLEAVER SIGIL,CLEAVER SIGIL,RobotoSemi-Bold SDF,DỌN HÀNG,RobotoSemi-Bold SDF,
FALSE,object_name_2013,PILLAR BANE,PILLAR BANE,RobotoSemi-Bold SDF,DỌN CỘT,RobotoSemi-Bold SDF,
FALSE,object_name_2014,CROSS NOVA,CROSS NOVA,RobotoSemi-Bold SDF,DỌN CHỮ THẬP,RobotoSemi-Bold SDF,
FALSE,object_name_2015,ABYSS CENSER,ABYSS CENSER,RobotoSemi-Bold SDF,THÍNH HẮC ÁM,RobotoSemi-Bold SDF,
FALSE,object_name_2016,BLOOD VIAL,BLOOD VIAL,RobotoSemi-Bold SDF,HUYẾT THANH,RobotoSemi-Bold SDF,
